Borough,,GuestPolarity,,,,,,,GuestSubjectivity,,,,,,,,HostPolarity,,,,,,,,HostSubjectivity,,,,,,,,Experience Distribution Count,,,,,,,,,
,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,Review Count,mean,std,min,25%,50%,75%,max,none,business,social,family,romantic,,,,,
Islington,69222,0.359560784,0.225475276,-1,0.233333333,0.367948718,0.5,1,69222,0.552324975,0.242491731,0,0.478571429,0.595833333,0.7,1,69222,0.192277649,0.169256162,-0.2625,0,0.186666667,0.3,1,69222,0.359652135,0.225900226,0,0.243506494,0.4040625,0.521,1,61190,2801,1859,2219,1153,,,,,
Kensington and Chelsea,72899,0.366200845,0.230491035,-1,0.233928571,0.3725,0.5,1,72899,0.563990932,0.239292832,0,0.492222222,0.6,0.711111111,1,72899,0.220498486,0.17979804,-0.2,0,0.24375,0.331096681,1,72899,0.404127909,0.260881485,0,0.175,0.476923077,0.605555556,1,66126,2260,931,2246,1336,,,,,
Kingston upon Thames,5354,0.40099636,0.215519606,-1,0.288784722,0.403726852,0.525,1,5354,0.599069144,0.218708598,0,0.524078283,0.631281566,0.734047619,1,5354,0.22117635,0.172005837,-0.05,0,0.25,0.336428571,0.75,5354,0.382158683,0.241567962,0,0.222222222,0.485,0.540740741,0.875,4937,291,4,122,0,,,,,
Lambeth,85123,0.354031213,0.234175633,-1,0.218560606,0.366666667,0.5,1,85123,0.546333292,0.256191088,0,0.475,0.6,0.704166667,1,85123,0.191856424,0.165625255,-0.3,0.008333333,0.1875,0.314393939,0.9,85123,0.379716008,0.225517795,0,0.23,0.432222222,0.536666667,1,76615,2998,3428,1180,902,,,,,
Lewisham,23213,0.358294258,0.225693351,-0.9,0.233766234,0.370833333,0.5,1,23213,0.554792569,0.248947662,0,0.483333333,0.6,0.708333333,1,23213,0.189816334,0.175149495,-0.2,0.003125,0.170833333,0.292857143,0.9,23213,0.363587314,0.225356838,0,0.265734266,0.416666667,0.51208134,1,21469,742,715,225,62,,,,,
Merton,9905,0.405281178,0.218846494,-0.7,0.288888889,0.40625,0.533333333,1,9905,0.598594829,0.223700736,0,0.522727273,0.627638889,0.741666667,1,9905,0.170737883,0.18633972,-0.241666667,0,0.130208333,0.305714286,0.8,9905,0.383242647,0.24835886,0,0.213392857,0.447619048,0.543095238,1,9395,143,190,27,150,,,,,
Newham,22111,0.358904015,0.241976921,-1,0.214663462,0.372,0.5,1,22111,0.557079621,0.256966763,0,0.483333333,0.603125,0.722222222,1,22111,0.169675033,0.169700314,-0.15,0,0.153703704,0.2625,1,22111,0.344601368,0.234245474,0,0.093333333,0.382410714,0.5,1,20607,230,733,538,3,,,,,
Redbridge,6259,0.372885316,0.234565456,-0.75,0.244444444,0.383333333,0.511111111,1,6259,0.569936275,0.247037025,0,0.5,0.6125,0.725,1,6259,0.187508574,0.20971345,-0.19375,0,0.125,0.303333333,0.75,6259,0.323412812,0.273209491,0,0,0.38,0.50212963,1,5832,71,18,338,0,,,,,
Richmond upon Thames,17916,0.418433859,0.209507188,-0.8,0.301388889,0.416666667,0.541666667,1,17916,0.616911419,0.20239934,0,0.535416667,0.6375,0.748645833,1,17916,0.211845925,0.202070365,-0.3,0,0.218055556,0.33125,1,17916,0.406421796,0.24328739,0,0.3,0.452930403,0.558,1,16513,586,301,306,210,,,,,
Southwark,73087,0.352309049,0.232011289,-1,0.218687075,0.366666667,0.5,1,73087,0.545336088,0.255223114,0,0.475,0.6,0.703817016,1,73087,0.204895983,0.175660194,-0.25,0.002272727,0.21,0.318418561,1,73087,0.371063149,0.228837472,0,0.241666667,0.427083333,0.515740741,1,67007,1691,2709,1253,427,,,,,
Sutton,3266,0.406789883,0.229903183,-0.8,0.2875,0.4125,0.543518519,1,3266,0.600419006,0.237541222,0,0.51875,0.637301587,0.75,1,3266,0.274345165,0.177365837,-0.1,0.147619048,0.306666667,0.408333333,0.515,3266,0.417241899,0.211597232,0,0.347222222,0.5,0.513333333,0.825,3013,174,0,0,79,,,,,
Tower Hamlets,101070,0.353304332,0.243010287,-1,0.20625,0.366666667,0.5,1,101070,0.546641956,0.255143355,0,0.473809524,0.6,0.706335227,1,101070,0.213867208,0.188626052,-0.25,0,0.221590909,0.346,1,101070,0.394392768,0.245628706,0,0.2625,0.454389881,0.571794872,1,92710,4160,3159,619,422,,,,,
Waltham Forest,12006,0.363384897,0.224626672,-0.9,0.244444444,0.377506614,0.5,1,12006,0.560178275,0.247384689,0,0.492797619,0.60772873,0.716477273,1,12006,0.220814053,0.187824793,-0.3,0.046428571,0.198026316,0.366666667,0.8,12006,0.396195599,0.235204883,0,0.2375,0.444057971,0.554761905,1,9960,933,1073,40,0,,,,,
Wandsworth,43995,0.380166429,0.225300179,-1,0.262031688,0.391666667,0.511111111,1,43995,0.574042664,0.240905263,0,0.500863095,0.616666667,0.723779762,1,43995,0.187691108,0.187944214,-0.3,0,0.16,0.301298701,1,43995,0.389922313,0.243473172,0,0.236666667,0.452048701,0.55,1,39978,1580,793,1200,444,,,,,
Westminster,120035,0.350570897,0.239844702,-1,0.2,0.357777778,0.5,1,120035,0.540740405,0.254935825,0,0.464583333,0.589223058,0.7,1,120035,0.19150404,0.195974087,-0.5,0,0.175555556,0.325,1,120035,0.372829161,0.247408253,0,0.15625,0.426190476,0.556111111,1,113085,3461,980,1842,667,,,,,
